PROGRAM,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE
Satellite Senior Center,Pilsen,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2021 S. Morgan Street,Chicago,IL,60608,312-743-0493
Satellite Senior Center,Englewood,Mon - Fri 8:30 a.m. to 4:30 p.m. ,653-657 W. 63rd Street,Chicago,IL,60621,312-745-3328
Regional Senior Center,Central West,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2102 W. Ogden Avenue,Chicago,IL,60612,312-746-5300
Satellite Senior Center,Garfield Ridge,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5674 S. Archer Avenue,Chicago,IL,60638,312-745-4250
Satellite Senior Center,Auburn Gresham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,1040 W. 79th Street,Chicago,IL,60620,312-745-4798
Satellite Senior Center,Abbott Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,49 East 95th Street,Chicago,IL,60619,312-745-3493
Regional Senior Center,Renaissance Court,Mon - Fri 8:30 a.m. to 4:30 p.m. ,78 E. Washington Street,Chicago,IL,60602,312-744-4550
Satellite Senior Center,Austin,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5071 W. Congress Parkway,Chicago,IL,60644,312-743-1538
Satellite Senior Center,Chatham,Mon - Fri 8:30 a.m. to 4:30 p.m. ,8300 S. Cottage Grove Avenue,Chicago,IL,60619,312-745-0385
Satellite Senior Center,West Town,Mon - Fri 8:30 a.m. to 4:30 p.m. ,1613 W. Chicago Avenue,Chicago,IL,60622,312-743-1016
Satellite Senior Center,Roseland,Mon - Fri 8:30 a.m. to 4:30 p.m.,10426 S. Michigan Ave.,Chicago,IL,60628,312-745-1500
Satellite Senior Center,North Center,Mon - Fri 8:30 a.m. to 4:30 p.m. ,4040 N. Oakley Avenue,Chicago,IL,60618,312-745-4029
Satellite Senior Center,South Chicago,Mon - Fri 8:30 a.m. to 4:30 p.m.,9233 S. Burley Ave,Chicago,IL,60617,312-745-1282
Regional Senior Center,Southwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,6117 S. Kedzie Avenue,Chicago,IL,60629,312-747-0440
Satellite Senior Center,Kelvyn Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,2715 N. Cicero Avenue,Chicago,IL,60639,312-744-4016
Satellite Senior Center,Norwood Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5801 N. Natoma Avenue,Chicago,IL,60631,312-744-4016
Regional Senior Center,Northeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,2019 W. Lawrence Avenue,Chicago,IL,60625,312-744-0784
Regional Senior Center,Northwest,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,3160 N. Milwaukee Avenue,Chicago,IL,60618,312-744-6681
Regional Senior Center,Southeast,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,1767 E. 79th Street,Chicago,IL,60649,312-747-0189
Satellite Senior Center,Portage Park,Mon - Fri 8:30 a.m. to 4:30 p.m. ,4100 N. Long Avenue,Chicago,IL,60641,312-744-9022
Satellite Senior Center,Edgewater,Mon - Fri 8:30 a.m. to 4:30 p.m. ,5917 N. Broadway,Chicago,IL,60660,312-742-5323
